quote,entry,rating
AMAZING!,"Amazing food, amazing atmosphere, amazing customer service - one of the best restaurants I’ve been to! Would definitely recommend!More",5
Great restaurant,"Came here with friends. Good service, good portions, and good service! Would come again. Nice and warm ambience and friendly staffMore",5
"Great food, great service","A top notch business with a brilliant customer service. Food was good quality with mouth watering flavours. Drinks were a top hit amongst our group. 

I would highly recommend😌😌More",5
Excellent service,"Good food, good atmosphere and excellent service from staff. Defo recommended! Perfect spot for a quiet eveningMore",4
Yum,Delicious - such a treat. Food wonderful and staff super attentive. Will absolutely be back. Not your average Indian food menu - quite diverse and good portion sizes.More,5
Best Indian in north London!,"Been coming for years. The food is stunning and the staff are brilliant, kind and welcoming. Our sever Mitra was excellent.More",5
One of the best Indian restaurants in North London,"Unbelievable food and amazing service. We even got complimentary mint tea, chocolates and biscuits. Very clean and hygienic and all the staff were attentive and so friendly. Our waitress cleaned between meals. Definitely will be coming again and would recommendMore",5
“BayLeaf” been there many times. I you haven’t you’re missing out.,"I rate BayLeaf as one of London’s top Indian restaurants. Impeccable service, succulent food, all in a spacious inviting atmosphere.More",5
Overpriced and food substandard,Visited recently and felt immediately uncomfortable as there were no social distances between tables. Food is expensive for what you get. Small portions. Rice stale. Meat platter disappointing one lonely tough lamb chop. A few chunks of chicken and 3 oversalted kofta. A quarter of...More,1
AMAZING FOOD GREAT TEAM,Took my partner for a celebratory meal out the food and staff were incredible we will 100% be back a special mention to the lovely Mitra she was such a friendly server! Also I didn't catch our servers name (a younger man with a mask...More,5
"Excellent food, very friendly staff","The food was excellent. We had a variety of dishes, each one fresh and full of flavour and arriving quickly. The staff were friendly and incredibly helpful, offering lots of suggestions and making sure we were ok throughout the evening. I'd definitely go back!More",5
Lovely meal out,"Me and my friend visited and we both loved everything. Food, service on point. Highly recommend for some delicious Indian cuisine and lovely service. Not to mention how lovely the cocktails are! Thank you Mitra!More",5
Great food!,Fantastic food and great service. The quality of the ingredients is really great. My husband and I went with our two young children and it is very family friendly. Our new favourite!More,5
Rahul patel,"Was great had lovely service, staff were really nice and welcoming and food was excellent. It was worth the journey!!More",5
Amazing service and food,"Just visited Bayleaf Restaurant and the food was absolutely amazing and the staff were so attentive with lots of great suggestions for food and delicious cocktails.
The owner personally came to our table and asked us if everything was okay which was very refreshing to...More",5
Great service and delicious food,Met family for dinner on a Saturday night. Food was delicious and was very impressed with the service. Our waitress Mitra was extremely friendly and went out of her way to ensure we had a great evening. Definitely would recommend a visit!More,4
Fabulous food,Were recommended by friends as a casual fine dining place. The food was on point as well as the service. Achari lamb is highly recommended and my personal fav. Need to visit.More,5
Amazing service and food was really good!,Came for a birthday celebration with family and was my first time! The food menu had so many good choices! ordered quite a bit and the food overall was delicious and just outstanding. I had the Bayleaf cocktail aswell and It was refreshing. Mitra delivered...More,5
Great food and service,Truly excellent food and wonderful service. The starters alone are the best in London. Highly recommended indeed 😊 Truly excellent food and wonderful service. The starters alone are the best in London. Highly recommended indeed 😊More,5
Delicious food and great service,The service was excellent. I had a lamb dish and it was delicious. I had cheesecake for desert and that was very nice also.More,5
Outstanding quality,"We visited the restaurant for a family celebration and weren’t disappointed. The food was outstanding, way beyond what might be expected from even a good neighbourhood Indian restaurant. The service was also excellent, with all special requests being meticulously fulfilled and little extras being added....More",5
"Great food, great service","Wide range of dishes (spicy and not), staff is always courteous. We love going for lunch. Worth a visit.More",5
Exquisite Evening!!,"Booked a table for two, an hour before. Tom the manger was very accommodating. The food was exceptional (Thank you Chef) and the service was impeccable (Thank you Mitra). To top it all the cocktails were superb (Thank you Sanaz). AlI of this surrounded by...More",5
"Excellent food, great place! ","Great warm welcome, accommodating and lovely freshly made food!

We usually get delivery and decided to visit the restaurant this evening, and although they didn't have their full cohort of staff, the service was still exceptional. 

I highly recommend this place with its lovely decor...More",5
Wonderful Curry,"Lovely, great food lovely atmosphere and excellent service. What more could you want so lucky to have this locally to us.More",5
You can’t beat The Bayleaf,"Probably the best Indian restaurant in the area. Lovely food, lovely service, lovely ambiance. Will obviously be back.More",5
Best halal Asian food in London and excellent service,We were served by Mitra and what an amazing service of the entire staff and the food was excellent. The best Asian cuisine in London and real fine diningMore,5
The staff are the best,"The staff are the best I hadn’t had such a good experience for a very long time I highly recommend, I feel at home!More",5
Husbands Birthday,"Absolutely beautiful place. Perfect for date nights. Amazing service, staff are welcoming and friendly. Food was 10/10. Already planning another day to come with the family. Excellent service from my brother Bodrul.More",5
Average Bangladeshi restaurant serving Indian food,"We ordered a few plates of food between four of us - chilli paneer, jaipuri okra fry, chicken 65, a spicy lamb curry, mixed vegetable curry, spinach paneer, lemon rice, papadoms, tandoori roti and naan. The good bits first - the ambience of the restaurant...More",3
First Class. Highly recommend.,"First time visit. Food was 10/10, service 10/10, ambience 10/10. Beautifully prepared food, good quality ingredients. Can’t fault this place. Outstanding service by Mitra.More",5
Great expectations but fell short on taste ,We went to the restaurant as a group of 11. It was a family dinner. The restaurant is in a nice location on Whetstone High Road was really well presented. We ordered a mix of starters of among which the Crunchy Kale Chat and Momo...More,3
Excellent,Fabulous food and service - as always. Lovely food and there is a selection for everyone. Thanks to the management and whole team.More,5
Dinner,"Excellent food and service. 
Staff very helpful and kind. Food was high quality and came out fast. Highly recommendMore",5
Better than Dishoom!,"Amazing food, service and ambience! The Bayleaf was faultless and we will be coming back again soon. Better than Dishoom for sure!More",5
Christmas Eve dinner,We came in here unexpectedly on Christmas Eve and the staff were so pleasant and accommodating. Fresh food and really tasty and staff were happy to recommend the dishes they loved. Would definitely come back!More,5
Best Indian restaurant I've been in a long time ,"Food was amazing and staff were so friendly and attentive to all our needs. 

Was a great birthday  thank you do much ill definitely be back again soonMore",5
Perfect last minute booking,"Wow , wonderful food staff ambience hygiene - was recommended by a friend . 
We will definitely be returningMore",5
A family supper made special,"This was the second visit we made to Bayleaf this month. The first with friends and last night was for family. 
The food is out of the ordinary, inventive and completely delicious. The service is outstanding and in particular Mitra looked after us as if...More",5
Wedding anniversary,"Lovely experience for us. Our server was Mitra, a lovely lady that made our night even more special. Definitely recommend the place. Lovely food with lovely people in it. What else can you ask?
Thank you Bayleaf 🥰More",5
Great food and service,"Great food and great service from our waitress Mitra and the lady who's been there a few days, and the guy who brought the beers. Thanks.More",5
Delicious!,"Firstly, the staff were incredibly welcoming, and very attentive. The food was delicious, and the portion sizes were great. 
Really happy with our meal, and over all experience. 
A special thank you to Mitra, who was really lovely.More",5
Amazing!,"Amazing service, beautiful food and lovely atmosphere. Couldn’t ask for more! Second visit, and will be back soon!More",5
Excellent,We had a wonderful time. Our waitress Mitra was fantastic and the everything from the food and atmosphere was too. I will definitely be coming here again.More,5
A lone evening out,"This place is amazing. I have often looked through the window and read the menus and looked at the prices and thought wow that's expensive, but that was before I knew what you get for your money. Yes, it is pricer than you average London...More",5
Beautiful meal,"Beautiful food, lovely atmosphere. 'Of my Bayleaf' dish was delightful.

Will return again,  would recommend to anyone.More",5
Fantastic meal. Will come again. ,"We haven’t been here for years and years despite it being just up the road. It was brilliant. The food was amazing and the service was fantastic - very attentive, friendly, not pushy etc. Yes it is pricey but the experience and food was worth...More",5
"Amazing food, fantastic service","I have to say this restaurant is absolutely amazing, the food is delicious. We had the Momo Nepalese dumplings to start which I really recommend! Service was also fantastic, Mitra in particular was lovely. Definitely coming here again.More",5
Excellent restaurant,"It was our first time here but we all had a great time, food was delicious, atmosphere excellent and the staff were all so friendly. 
Recommend this restaurant to all our friends and family.More",5
Evening out with the Mrs,"Come and Visit;  paneer so good, ordered the classics  such as Lamb rogan so tender, with Dal maaakne, sag aloo and of course naan breadsMore",5
Good times,Great food.. Great experience.. Great customer service! Thank you Bayleaf! Will be back as your food is that good!More,5
Amazing experience,"Visited bay leaf for my birthday dinner today... Amazing experience, great food & very lovely staff!!More",5
Amazing food!!,Amazing food and customer service. Staff were very lovely and friendly. Food was tasty and beautifully presented. Definitely will be visiting again!! (ORDER THE MOMO!!)More,5
Amazing!,"Food was delicious and well presented. Customer service was exceptional, will definitely be coming back.More",5
Wonderful Bayleaf!,"Excellent menu, food and service. Worth that little bit extra. Thoroughly recommend it to all food lovers.More",4
Great meal,Lovely food and wonderful waitresses. Really enjoyed the different dips for the popodoms and mixed grill.More,5
First time visit!,Excellent service from the staff from the offset. The recommended meals were also perfect for us. Highly recommended!More,5
"Pleasant evening, excellent food","Great atmosphere, the staff were wonderful and the food was great! Id recommend the lamb biryani, Will be back :)More",5
Lovely tasteful food,First time visit to the Bayleaf. Lovely tasteful  food friendly staff and service. Lovely decor  and atmosphere. I will definitely go back again :)More,5
Supper,"As always a delicious dinner at the Bay Leaf.  With really friendly,  good humoured staff.  2nd visit in a week... says it all!More",5
Great dinner at BayLeaf,"Food, service and atmosphere were great! First time here but I’ll definitely be coming back! The Handi chicken was superb!More",5
Fabulous meal as always,Couldn’t fault. A regular favourite to eat in and take out. Great service. Great food. Will be back soonMore,5
"Excellent service, delicious food","The food was served so quickly, every dish was amazing - really good quality-  and perfect portion size! The waiters were friendly and efficient - we were never left waiting and they tended to our every need. Thanks for the great experience!More",5
A film critic would award an Oscar to this restaurant.,"A film critic would award an Oscar to this restaurant.

My first visit to the Bayleaf restaurant in Whetstone was way beyond my expectations.  As a foodie of sorts, I tend to look for restaurants that everybody is talking about.  As this restaurant is situated...More",5
Dinner with ‘The Foodies’,What a fantastic evening! I went expecting to have a nice evening. It was actually an amazing evening. Thank you for the exceptional meal and fantastic hospitality. We’ll be back very soon.More,5
Lovely meal,Absolutely fantastic meal. Highly recommend. Mitra looked after us all evening. Great food. Great service. Highly recommend.More,5
Miss,"The food was excellent, the servers where great and very complementary. Food arrived in good time and the restaurant as a whole was very beautiful. Very pleasant experience thank you 😊More",5
Spectacular,"A very rare 5 star from me! Especially the butter chicken, the best butter chicken I have ever tasted, customer service and attentiveness was outstanding. Special thanks to Mitra who looked after us, will definitely be back again.More",5
The Jacksons,"Fantastic food and service. Best Indian food in London. Would highly recommend. Wonderful staff, especially Mitra.More",5
Amazing,Great food and great service. This is my go to restaurant for curry. As always they made me a special curry that isn’t on the menu. Love the theatrical starter that tastes every bit as good as it looks.More,5
Bayleaf Restaurant,"The food was absolutely delicious. This was the best butter chicken i have ever had. The started with scallops, Tiger prawns and lamb chops were also delicious. 

The cheesecake at the end was mouth wateringly amazing. 

This in my opinion is the best indian cuisine...More",5
Fabulous service.,Absolutely lovely staff. Food was great and the service was top notch. Defo will be going again soonMore,5
Great time,The food came really quickly and was very tasty! Amazing service and the staff were so friendly and funny. Will definitely be making a return!More,5
Great service,Amazing food and great service. Staff are so attentive. Badrul was great! Would definitely return! :),5
Out for my birthday,"Having had takeaways from Bayleaf over the years we decided to visit the restaurant. We were all glad we did. The staff were all polite, helpful and couldn’t do enough for us. The food was amazing and I don’t say that lightly. We ordered an...More",5
Beautiful birthday dinner with family,"What a beautiful evening! Gorgeous food and amazing, friendly service. Beautiful restaurant and decor too. Thank youMore",5
Pure Excellence!,"Me and my family really loved our experience at the Bay Leaf. The team here was really hospitable and served some really scrumptious food! Every item was delicious and met our expectations well. 

Will definitely be back again to try some of the other dishes...More",5
Amazing food and service!,"We visited Bayleaf for a family meal to celebrate a wedding event and family visiting from abroad who wanted to eat some good curry!
Bayleaf did not disappoint, we had the best service and very tasty food. We were also given some recommendations and the...More",5
Great experience,Really enjoyed the food with my family. Every dish we ordered from starter to main was great. As we all like a spicy dish the owner very kindly made a complimentary spicy dish for us whivh was fab! Definitely coming back.More,5
Yummy to my tummy,Amazing meal with the family ! Food was 10/10 so was the service by Mr abortion. Will highly recommend others to try!! Best butter chicken ever !More,5
Excellent food and service,Fantastic service and the food was so delicious! Will be coming back for sure and definitely recommend.More,5
10/10,"Lovely staff, amazing food! 10/10 customer service. We will definitely come back and recommend to friends and family.",5
Good place and good food,Really good food and made a really special effort for my son for his first visit to the Bayleaf. Would definitely go backMore,5
Re: Family meal,A delicious meal and superb service. Enjoyed by all we will definitely come again. The waitress was so kind and helpful with our children too.More,5
An Indian restaurant you should try,"We had a superb meal, excellent service. A really unique menu and they even prepared to make you a meal not on the menu. Great restaurant!!More",5
Very Interesting Food,"Food is very authentic. Lovely staff, great ambience and immaculate toilets. Beautiful decoration and super accessoriesMore",4
Chris,Top Asian food. Try every restaurant of this type in the area for past 16 years. This is the best. Lovely food and great service. Thank you.More,5
Perfect,"Just popped in for dinner, without a reservation. The staff were warm and welcoming, the atmosphere relaxing, the food glorious, and the raspberry mojitos marvellous. Staff and service were impeccable- thank you so much, we’ll definitely be back!More",5
Fantastic experience.,"This restaurant had excellent service, food and drinks! I will definitely be returning with friends.More",5
Bayleaf brilliant,Fabulous food and fantastic staff. I would recommend this place.  Try the prawn tandoori curry or the lamb cutletsMore,5
Amazing ,Mitra the waitress was amazing the food was great can't complain everything was 5 star. We ordered a curry off menu which the owner personally recommended.  I'd suggest to ask the waiter what they recommend.More,5
A cut above,"Unquestionably a cut above the usual standard of Indian restaurants - both the food and the service. 

The presentation was great, clearly the chef and team know their stuff. Slightly gimmicky with the dry ice with the main dishes but it was fun. 

The service...More",5
"A real treat, we will be back!","This is not your regular Indian, the dishes have that extra bit of interest, uniqueness and are of course absolutely delicious. We were tremendously well looked after throughout our anniversary lunch. Highly recommendMore",5
Bayleaf,"We had a wonderful dinner. The food is very good.
We were served by Mitra - she’s a wonderful lady, definitely we will go again.More",5
Outstanding food and service,"Having used the Bay Leaf’s sister take away for many years, tonight we tried the restaurant. From the booking a table over the telephone to being greeted and served the service was outstanding, Special thanks to Mitra in particular. The food was fabulous, Goan curry...More",5
Quality,Fantastic service and top quality food. Fine dining Indian styled experience. Great service and a great restaurant - perfectMore,5
Amazing experience,"The food, the service, the ambience at Bayleaf all made for a wonderful dining experience. After many prior recommendations, myself and a friend visited for dinner. Our lovely waiter was attentive, and very useful providing recommendation on dishes based off our personal preference. When the...More",5
Wonderful meal and fantastic service,"We visited for lunch on Saturday for a birthday celebration. The food was simply delicious! We were looked after beautifully, the service was very friendly, warm and helpful. Every effort was made to make our visit enjoyable, a little attention even being given to my...More",5
Family birthday,"I had a great time here with my family to celebrate a birthday, the food was very tasty and the customer service was exceptional.More",5
Absolutely Outstanding !,"High Class Authentic Food With Service Out of This World! Couldn’t have been more Satisfied.

Will definitely dine in more often!

Big Thank you to the Team @ Bayleaf for a wonderful evening!More",5
Brilliant service,Came for an evening meal out and was not disappointed. Food was lovely and service was outstanding. Thank you. Will hopefully be visiting again soonMore,5
Great service,Bodrul and his colleagues gave amazing service. Very attentive. Very good service. Loved the food. Went with 8 friends and was really a nice vibeMore,5
Bay leaf great service,Bodrul and his colleagues were friendly smile and efficient service. Enjoyed the food! Deffo recommend.More,5
"Last minute, why not.","Have been to the Bay Leaf a couple times previously with no diminishing returns! 

Every time they deliver excellent service and even better food. We explore the menu and try different dishes, (expect for the Momo, which is too much fun not to order again...More",5
Excellent service,"We had my birthday lunch at Bayleaf yesterday. 
Food was great and arrive was excellent. 
My 9 year old daughter said as we left the restaurant 
‘Mummy that lady was the best waitress we have ever had!’ 
Says it all 🙂More",5
Birthday Treat at the Bayleaf,The food was outstanding the service was beautiful the recommendation was great. The atmosphere was buzzing! The mocktails have a great buzz. The whole experience was amazing. The staff were great! Aurelia was out waitress who was amazing.More,5
5*,"The service was exceptional from all staff, and the food was amazing! Will definitely be coming back soon.More",5
Lovely Indian & amazing service,"Had a beautiful meal with five friends at Bay Leaf. It was a very spontaneous evening but a complete delight. The food was unbelievable, not your typical Indian which was a nice surprise. 

The service is great and you’ll be well looked after. If your...More",5
Dinner at the Bayleaf,"Amazing food, lovely staff and great service.  
Would definitely recommend and come back again it was so tastyMore",5
Food with friends,"Great customer services 
Food was delightful 
Amazing dishes. My favourites dishes are on the pictures.More",5
Sumptuous evening!,"We had a fabulous evening celebrating my friend's birthday. We tried both of the shared starters which were advised not be to missed & they were certainly worth it!
We all enjoyed every dish: excellent quality & presentation.
Above all, the service was first class....More",5
5 stars!,Wonderful evening and great value for money considering the level of service we received. Would defiantly recommend and will be visiting again!More,5
Amazing service & food,The most amazing service from waitresses Mitra - a lovely people person who made our whole experience lovely. She’s a real credit to the restaurant. Food was absolutely gorgeous too!More,5
Great Iocal Indian,Have been going to the Bayleaf for quite a few years. Food always good and staff are also very friendly.More,5
Great food and great ambience,"Always great food, absolutely amazing. Lots of delicious and authentic food options. 
Highly recommendedMore",5
Wonderful,I spent a great experience. It's the best India restaurant that I've done so far. The waitress that take care of us were really nice and helpful.More,5
Excellent anniversary meal at Bayleaf,From the second we arrived to the second we left the service was truly exceptional.  The food was excellent and we were made to feel very special on our wedding anniversary.  A special thank you to Mitra and Aurilia for looking after us.More,5
Excellent,"We had a mixture of lamb, chicken and vegetarian dishes with delicious naan and rice and every single dish surpassed expectation. The staff were amazing and really looked after us. Truly excellent service snd delicious food. Would throughly recommend!",4
Great food!,"Fantastic food, very attentive service. So glad we came here. Will definitely come here again. Fresh, delicious ingredientsMore",5
The best Indian food in North London.,"Delicious and varied food as always. 
The service was excellent; we didn't have long to wait. The Bayleaf always provides a lovely dining experience and feels like a home away from home. I had the Goan fish curry which was delicious and my friend had...More",5
OUTSTANDING,"Visited this restaurant with friends for the first time last night. Contemporary decor, spotlessly clean, excellent dining experience and superb service.More",5
Incredible food + fantastic service,"The food here is phenomenal - everything is cooked to perfection and the curries are top notch. It’s all beautifully presented too.

The service staff are attentive and (unusually for London) our waitress was genuinely friendly, warm and funny. I couldn’t recommend this place enough...More",5
Bayleaf Restaurant,"Had a meal here for the first time - what can I say! Atmosphere was really good, staff very attentive, food absolutely delicious - will I be going back YES OF COURSE.  Highly recommend.More",5
Excellent Food and Service,Excellent food and service. Would definitely recommend a visit to this place. The staff were attentive and were able to direct me which dish I would likeMore,5
Amazing food and service,"Good was first class, both taste wise and aesthetically. Waiters were always kind, polite and friendly. Highly recommend BayLeaf to everyone. I’ll definitely be returning. So many amazing other options to try from on the menu in the future.More",5
Amazing experience,"Had a lovely meal here. The staff were so friendly and when the food was served there was smoke on the table, would recommend!!More",5
End of Weekend cosy dinner with close friends,"Delicious food, good size portion. Very cosy golden ambience, soft music in the background. Very kind, helpful and friendly waiters. Sanitizers provided at the entrance, hot towel just after mains. Ohh and they check body temperature 😊. I will surely come again 😋😋😋More",5
Family dinner,"Visited Bayleaf on a Sunday, the staff was lovely and the restaurant was very well decorated!!! The COVID security was also impeccable they had a temperature scanner and copious amounts of sanitiser. The food was delicious and the flavours were lovely. 

Even the complimentary chocolate...More",5
Quality,"Amazing food! Toff and the waiters customer service were also second to none, they made the experience very special.More",5
Dinner,Came to visit on a Friday night for an anniversary and I am delighted with the experience. Beautiful food coupled with amazing customer serviceMore,5
Friday night dinner,Beautiful experience. Customer service was fantastic and food was outstanding. Coffee at the end of the night was perfect.More,5
Dinner,Excellent food and the staff are amazing! Thank you Mitra for looking after us. My favourite Indian in London.More,5
Best Indian Food In London!,Best service you could ever wish for! Passionate and caring service- everyone who works here makes you feel as though you are family! Delicious food and gorgeous atmosphere! Highly recommend!,5
Outstanding service and exceptional food,"All four of us were more than pleased with our meals, we would highly recommend a visit to Bayleafs.",5
Another wonderful meal at Bayleaf,"Fantastic food, excellent service, lovely setting. Bayleaf never fails to deliver. We had a mixture of lamb, chicken and vegetarian dishes with delicious naan and rice and every single dish surpassed expectation.More",5
Fantastic meal from start to finish,An impromptu drop in and so glad we got a table. The food and service here is fantastic. We have had many Indian meals before and  this is by far the very best in its taste and presentation. We can highly recommend the starter for...More,5
Excellent,"Fantastic restaurant. Amazing food. Superb staff. Good location in North London. 

Great prices. 

Highly recommended.More",5
Great food!,"Delicious range of dishes all beautifully presented. Service is excellent, highly recommend eating here.More",5
Perfect restaurant if you love interesting Indian food !,"Food delicious naan bread to die for service impeccable !
I had the bhajis and lamb cutlets with pilau rice which was fluffy and light . 
Wonderful local gem!More",5
Highly highly recommend!,"Waiters were absolutely lovely, so kind and attentive. And the food was so delicious!!! Highly recommend!More",5
Delicious! Food and service.,"Delicious! Food and service. 100% recommend the daal and tikka, and of course the homemade naan!!!!!More",5
Dinner,"Great service, great food, nice atmosphere and music. Lovely drinks and great staff. Nice menu, and every dish was excellent.More",5
"Really nice atmosphere, staff and food","The hospitality was really good and welcoming. There were lots of nice choices, foods I haven’t seen at other restaurants. We had a great time :)More",5
Mrs,"Amazing food, amazing atmosphere, highly recommended if you are looking for a relaxing time with good foodMore",4
Amazing!!,Amazing food and the atmosphere is very lively. The service is always perfect. I highly recommend the salmon satavar!!More,5
Amazing time!,Such a lovely restaurant with an intimate ambiance. Food was absolutely amazing and the service was fantastic 🥰More,5
Wonderful evening,"Amazing food, fantastic service. Absolutely brilliant. Food is beyond delicious. First time out after pandemic. All the staff made us feel special and welcomed",5
"Classy, stylish restaurant with great cuisine",Best indian food I've ever tasted👌 staff are so friendly and helpful especially Bod... would highly recommend it hereMore,5
Great experience,"Lovely food, very nice staff and a lovely evening.  Highly recommended, and will definitely return. Nice touch offered a complimentary drink at the end of the mealMore",5
A must try!,An amazing restaurant  with delicious food and great service! Everything was perfect! Thank you for having us xMore,5
Lovely restaurant,I had a lovely birthday dinner at this restaurant with friends. The service was brilliant - very attentive and caring. They allowed us to eat our own cake afterwards and didn't rush us to leave even though we were there for almost 4 hours. The...More,4
Worth a visit,"We’ve been coming to Bayleaf for years. It’s a fine local institution with amazing food and impeccable service. Never fails to deliver, the best curry for miles around.More",5
Mrs ali,Was an absolutely delightful experience here at bayleaf .. loved the food and service :) highly recommended.More,5
Food,"Amazing food and service! I would highly recommend! Had so much fun with my friends! 

Best food and ambiance!More",5
70th Birthday Celebration,"We booked the whole restaurant for my father-in-laws 70th surprise birthday celebrations.  Pre-planning-Tof and his team were very accommodating, customer orientated and responsive. On the day the restaurant and food was beautifully presented and of excellent quality and taste and no errors made in the...More",5
Maa Birthday,"From the moment we entered the restaurant we were welcomed with a lovely smile acknowledged our booking and got us seated. 

The kind lady serving us on the day was straight over giving us the menu and asking about any food allergies we may of...More",5
"Amazing service, food and venue",I’m not particularly a fan of Indian food but I can honestly say that Bay Leaf was hands down the best IndianMore,5
Great birthday celebration,Fantastic venue to celebrate a birthday. Staff are extremely helpful. Food is exquisite. Will definitely be back.More,5
Miss,"Had the most amazing experience for my friends birthday. Staff was very accommodating, friendly and professional. Food was 10/10. Quick service. Would definitely recommendMore",5
Lovely place,We came here for a birthday and it was amazing! Food was 10/10 and service was even better. I highly recommend this place to anyone looking for good food.More,5
Birthday Dinner,Absolutely amazing service food! Highly recommend. The staff were friendly and kind. I would defo come back again.,5
Family Birthday Meal,"Was very good  food and service, special birthday cake for my grandpa aswell, very nice. Will definitely recommend.More",5
Food and staff were impeccable,"absolutely amazing, i’m a fussy eater and i was struggling on what to eat but felt like they understood what i wanted and served me the food i waned and i enjoyed it more than anything. everyone was so helpful, simply kind and genuine. this...More",5
Outstanding restaurant - food & service!,From entering you are greeted with lovely decor and kind staff. The food is absolutely amazing. Would certainly recommend & will definitely be coming back!More,5
Excellent service.,"Amazing food, amazing staff and a great atmosphere. 

I would recommend this location for any occasion.More",5
Exceptional Indian food in Whetstone,"I’ve just had one of the most wonderful meals on a Tuesday night. The service was absolutely outstanding. Our lovely waitress Mitra was so friendly and welcoming and nothing was too much trouble. This is no ordinary Indian food. It’s stylish, innovative and different. The...More",5
Superb meal,"Superb food and friendly service. 
The calamari was soft and flavoursome. 
The meat was tender and fell apart.
We’ll eat here again :-)More",5
Excellent,Strongly recommend Bay Leaf. Such amazing food and excellent service. It’s the best curry around !!!More,5
Mr,"What an incredible restaurant, lovely staff and amazing food. Wouldn’t be able to recommend it more.More",5
Best Indian Food,"I don’t write reviews but this restaurant needs all the recognition it can get. It’s an amazing experience, the restaurant is beautiful, staff are so friendly and helpful, and the food is amazing.",5
Wonderful evening - fabulous food!,Had an amazing evening with the family celebrating exam results. Wonderful service and amazing food! Loved the theatrical entrance of our starters! What more would you want?More,5
Very good food,"This is first time I’m coming in the restaurant, and never forget , best food and very friendly staff working in this restaurant.",5
Family meal out,"Wonderful experience at the Bayleaf restaurant, we came as a family of 5 enjoyed the food and service the team here are exquisite. Throughly enjoyed. Many thanks for a wonderful evening ❤️More",5
Birthday dinner,"We had a lovely birthday dinner here. Great food, great ambience and amazing service! Happiness, joy and success :-)))More",5
Dinner with friends,"Excellent vibrant food with fresh ingredients, and lovely friendly service. The Mangaloorian chicken was especially delicious!More",5
Bay leaf whetstone,Food was delicious. Service excellent. Bod looked after us very well. Thank you for an excellent evening.  We will be back.More,5
Fantastic food and service,I have been here several times. The staff are very friendly and very courteous.  Always happy to accommodate and help.  Food as always exceptionally good. Mitra as lovely as everMore,5
Excellent food excellent service !,"Excellent meal at the bay leaf whetstone!! The food was delicious and beautifully presented. The service was extremely impressive - friendly staff who make it such an enjoyable experience and free drink/ dessert was a lovely touch! 
Would definitely return here and recommend.More",5
Best Indian restaurant,"We came to the restaurant with friends today and had the best time. The service was amazing, lovely staff. Most of all, the food was fantastic, very fresh and amazing taste, authentic Indian food. I particularly admired the amazingly tender sholay gosht. I highly recommend...More",5
Delicious food made better by out of this world service,"My husband had been craving Indian for awhile, so after a little research, found Bayleaf, luckily not too far from we live. We stopped in for lunch, so it was much quieter than a typical dinner service. We were greeted promptly and seated quickly. The...More",5
"Great service, poor mains","My GF and I had walked past and saw it was quite busy so thought we would try the place. We had the poppadoms and sauces which were very nice, and started with the Kale Chaat which was good and flavourful. 
However, the mains were...More",2
Date night in New area,We just moved into the area and enjoyed our first date night out. Thoroughly enjoyed our meal and the great service.  Will be back... Recommended place to eat.More,5
A lovely surprise,"Meeting up with old friends for first time in two years, stumbled on the Bayleaf. Delightful, delicious almost delicate food and excellent service. Definitely one to return to, soonMore",5
Excellent,"The food is excellent i highly recommend it and Mitra is very competent, charismatic and served us very well.  Thank you so much! I felt very comfortable.  I will definitely come back more oftenMore",5
Hidden gem!,"GREAT food, EXCELLENT service and a WOW factor! This place has it all - don’t believe me, then go try it out for yourself and you soon will. 

Look out Michelin…here’s your next STAR!!!More",5
First time visiting and was fantastic!,"People had often mentioned this restaurant as a lovely restaurant with incredible food. Gave it and try and they couldn’t be more correct. The service and atmosphere was great even with covid reatrictions. 

I will be visiting again!More",5
Wish we lived closer!,"We live over 100 miles from The Bayleaf but whenever we visit relatives in the area we make a point of dining at this wonderful restaurant.
Superb!More",5
Bayleaf,"Inside is very modern and comfortable. Great food, extremely tasty and service was excellent! Asked on multiple occasions if everything was okay and if we would like anything elseMore",5
Fantastic family birthday night out,"I’ve been coming here for years as either with friends after a night out or with my family.
On this occasion I brought my two children and wife to celebrate my sons 15th birthday.
The staff made us all feel welcome and covid safe.
The...More",5
Mrs B Reef,Spent a fabulous evening at the Bayleaf .  Was exceptional service and food and very Covid friendly.  Will   be back.More,5
Mrs Rachelle Burgerman,"Amazing food and service excellent . 
Covid safe .  Will definitely recommend and I will be going back again",5
Mrs G Rose,"Excellent food and excellent service  
Felt very safe and covid secure highly recommended 
Will visit againMore",5
Always excellent service and food,5 stars (try the oh my bayleaf!) and the lamb bhunde. The momo is always good to start with our boys.,5
Lovely meal,"Had a lovely meal at the bayleaf. Attentive service, delicious food, would highly recommend. The menu is a little different from your traditional Indian restaurant and is definitely worth exploring.More",5
10/10 food and service,"Great service from Bod, highly recommend this restaurant. We were well looked after and food was delicious/ well presented.More",5
A wonderful family meal,"We had a lovely meal with my family of 3 generations after a long time of separation. This was the perfect way to break bread (or naan) together. The staff (including Mitra and Miah) are all very chatty, friendly and polite! We love it here.More",5
Book a table now!,"As always the food and service here was impeccable. This is fine dining Indian food, you won't do better. The staff are always friendly, up for a chat and always have us in fits of laughter. They are all brilliant every time. Might and his...More",5
